transaction_id,customer_id,transaction_date,transaction_type,amount,adjustment_code,network_node,country,destination_account,is_suspicious_ground_truth,country_name,risk_score,is_tax_haven,cross_border,amount_zscore_cliente
TXN00000001,CLI000284,2023-10-27,ESTORNO,1510.95,10,RJ-CORE-01,BR,BR-3746317213,False,Brasil,0.05,False,False,-0.11711829629030575
TXN00000002,CLI000865,2023-02-16,PAGAMENTO,2650.12,00,SP-CORE-02,BR,BR-9697354961,False,Brasil,0.05,False,False,0.0017622701158345412
TXN00000003,CLI001134,2023-07-17,FATURA,1348.04,10,BA-CORE-01,BR,BR-2181241943,False,Brasil,0.05,False,False,-0.07901270484409446
TXN00000004,CLI000602,2023-12-15,FATURA,2528.11,02,RJ-CORE-01,BR,BR-1958682846,False,Brasil,0.05,False,False,0.7071067811865478
TXN00000005,CLI001040,2023-03-22,PAGAMENTO,1598.96,02,BA-CORE-01,BR,BR-4163119785,False,Brasil,0.05,False,False,-0.5477567959806682
TXN00000006,CLI000331,2023-11-17,FATURA,1058.59,01,SP-CORE-02,BR,BR-9963334018,False,Brasil,0.05,False,False,0.11182651160394791
TXN00000007,CLI000630,2023-11-03,FATURA,1148.06,00,SP-CORE-01,BR,BR-2812140441,False,Brasil,0.05,False,False,0.2620884602233037
TXN00000008,CLI000142,2023-01-30,AJUSTE,858.23,00,SP-CORE-01,BR,BR-1127978094,False,Brasil,0.05,False,False,0.8743143386675656
TXN00000009,CLI000867,2023-03-07,AJUSTE,2315.93,01,RJ-CORE-01,BR,BR-1939042955,False,Brasil,0.05,False,False,0.3995038266260667
TXN00000010,CLI000765,2023-10-04,AJUSTE,2648.32,01,RJ-CORE-01,BR,BR-9703905715,False,Brasil,0.05,False,False,1.006561699354379
TXN00000011,CLI000693,2023-09-22,PAGAMENTO,1591.17,01,SP-CORE-02,BR,BR-7635473142,False,Brasil,0.05,False,False,0.4898216410432665
TXN00000012,CLI000121,2023-10-29,FATURA,1947.65,01,SP-CORE-01,BR,BR-6241752544,False,Brasil,0.05,False,False,0.11354666491059587
TXN00000013,CLI000488,2023-02-04,AJUSTE,3170.86,02,SP-CORE-01,BR,BR-7825844140,False,Brasil,0.05,False,False,-0.7071067811865475
TXN00000014,CLI000969,2023-12-09,ESTORNO,-1709.24,01,BA-CORE-01,BR,BR-4460967357,False,Brasil,0.05,False,False,-0.8686136970357903
TXN00000015,CLI000842,2023-04-08,PAGAMENTO,348.25,10,RJ-CORE-01,BR,BR-8293453178,False,Brasil,0.05,False,False,-1.8024431679015473
TXN00000016,CLI000695,2023-01-28,PAGAMENTO,2363.31,00,SP-CORE-01,BR,BR-6756332150,False,Brasil,0.05,False,False,1.1093657758422653
TXN00000017,CLI000376,2023-05-08,FATURA,686.73,10,SP-CORE-02,BR,BR-1667779376,False,Brasil,0.05,False,False,-0.8184009088994828
TXN00000018,CLI001108,2023-08-25,ESTORNO,-889.33,00,MG-CORE-01,BR,BR-2445662585,False,Brasil,0.05,False,False,-1.2911033248737074
TXN00000019,CLI000995,2023-02-17,FATURA,3243.76,01,SP-CORE-02,BR,BR-5693307665,False,Brasil,0.05,False,False,0.806033002501776
TXN00000020,CLI000005,2023-04-20,PAGAMENTO,3028.98,00,SP-CORE-02,BR,BR-5710360983,False,Brasil,0.05,False,False,1.8442970151617273
TXN00000021,CLI001139,2023-05-16,PAGAMENTO,3244.28,10,RJ-CORE-01,BR,BR-8934927891,False,Brasil,0.05,False,False,0.8156147277077388
TXN00000022,CLI001111,2023-03-21,PAGAMENTO,680.84,01,SP-CORE-01,BR,BR-7887950851,False,Brasil,0.05,False,False,0.8717383522487858
TXN00000023,CLI000323,2023-06-10,FATURA,218.94,10,BA-CORE-01,BR,BR-4466589567,False,Brasil,0.05,False,False,-0.6014375997818112
TXN00000024,CLI000140,2023-09-18,FATURA,298.79,01,SP-CORE-01,BR,BR-8429141456,False,Brasil,0.05,False,False,-0.9084366770442371
TXN00000025,CLI000082,2023-07-26,AJUSTE,437.21,01,BA-CORE-01,BR,BR-3303082117,False,Brasil,0.05,False,False,-0.7804947026685469
TXN00000026,CLI000644,2023-08-03,FATURA,2307.66,02,RJ-CORE-01,BR,BR-2625792787,False,Brasil,0.05,False,False,-0.40085517980580565
TXN00000027,CLI000149,2023-05-16,AJUSTE,1397.33,02,MG-CORE-01,BR,BR-7665963761,False,Brasil,0.05,False,False,0.07238016910681665
TXN00000028,CLI000437,2023-08-23,FATURA,2181.63,00,SP-CORE-01,BR,BR-8995970241,False,Brasil,0.05,False,False,0.14953171212881453
TXN00000029,CLI000898,2023-03-09,ESTORNO,-3267.74,00,SP-CORE-02,BR,BR-3479708607,False,Brasil,0.05,False,False,-1.3529602129657783
TXN00000030,CLI000213,2023-11-10,ESTORNO,3443.81,00,BA-CORE-01,BR,BR-4026113008,False,Brasil,0.05,False,False,0.6264185960546305
TXN00000031,CLI000558,2023-05-16,AJUSTE,421.69,00,BA-CORE-01,BR,BR-9786748825,False,Brasil,0.05,False,False,0.0
TXN00000032,CLI000515,2023-11-06,ESTORNO,752.99,02,SP-CORE-02,BR,BR-5728765136,False,Brasil,0.05,False,False,0.02562052013354333
TXN00000033,CLI000684,2023-02-17,FATURA,2227.31,02,SP-CORE-01,BR,BR-6488854841,False,Brasil,0.05,False,False,-0.024463713540145562
TXN00000034,CLI000876,2023-11-23,AJUSTE,3429.7,01,MG-CORE-01,BR,BR-2566942273,False,Brasil,0.05,False,False,1.3837066810903067
TXN00000035,CLI000757,2023-02-27,FATURA,281.85,01,BA-CORE-01,BR,BR-6884882440,False,Brasil,0.05,False,False,-0.7071067811865475
TXN00000036,CLI000733,2023-08-09,AJUSTE,463.51,02,RJ-CORE-01,BR,BR-3783290795,False,Brasil,0.05,False,False,-0.5394825520712877
TXN00000037,CLI000833,2023-12-16,AJUSTE,888.36,00,RJ-CORE-01,BR,BR-4131575764,False,Brasil,0.05,False,False,-0.1377101733977517
