transaction_id,customer_id,transaction_date,transaction_type,amount,adjustment_code,network_node,country,destination_account
TXN00000001,CLI000284,2023-10-27,ESTORNO,1510.95,10,RJ-CORE-01,BR,BR-3746317213
TXN00000002,CLI000865,2023-02-16,PAGAMENTO,2650.12,00,SP-CORE-02,BR,BR-9697354961
TXN00000003,CLI001134,2023-07-17,FATURA,1348.04,10,BA-CORE-01,BR,BR-2181241943
TXN00000004,CLI000602,2023-12-15,FATURA,2528.11,02,RJ-CORE-01,BR,BR-1958682846
TXN00000005,CLI001040,2023-03-22,PAGAMENTO,1598.96,02,BA-CORE-01,BR,BR-4163119785
TXN00000006,CLI000331,2023-11-17,FATURA,1058.59,01,SP-CORE-02,BR,BR-9963334018
TXN00000007,CLI000630,2023-11-03,FATURA,1148.06,00,SP-CORE-01,BR,BR-2812140441
TXN00000008,CLI000142,2023-01-30,AJUSTE,858.23,00,SP-CORE-01,BR,BR-1127978094
TXN00000009,CLI000867,2023-03-07,AJUSTE,2315.93,01,RJ-CORE-01,BR,BR-1939042955
TXN00000010,CLI000765,2023-10-04,AJUSTE,2648.32,01,RJ-CORE-01,BR,BR-9703905715
TXN00000011,CLI000693,2023-09-22,PAGAMENTO,1591.17,01,SP-CORE-02,BR,BR-7635473142
TXN00000012,CLI000121,2023-10-29,FATURA,1947.65,01,SP-CORE-01,BR,BR-6241752544
TXN00000013,CLI000488,2023-02-04,AJUSTE,3170.86,02,SP-CORE-01,BR,BR-7825844140
TXN00000014,CLI000969,2023-12-09,ESTORNO,-1709.24,01,BA-CORE-01,BR,BR-4460967357
TXN00000015,CLI000842,2023-04-08,PAGAMENTO,348.25,10,RJ-CORE-01,BR,BR-8293453178
TXN00000016,CLI000695,2023-01-28,PAGAMENTO,2363.31,00,SP-CORE-01,BR,BR-6756332150
TXN00000017,CLI000376,2023-05-08,FATURA,686.73,10,SP-CORE-02,BR,BR-1667779376
TXN00000018,CLI001108,2023-08-25,ESTORNO,-889.33,00,MG-CORE-01,BR,BR-2445662585
TXN00000019,CLI000995,2023-02-17,FATURA,3243.76,01,SP-CORE-02,BR,BR-5693307665
TXN00000020,CLI000005,2023-04-20,PAGAMENTO,3028.98,00,SP-CORE-02,BR,BR-5710360983
TXN00000021,CLI001139,2023-05-16,PAGAMENTO,3244.28,10,RJ-CORE-01,BR,BR-8934927891
TXN00000022,CLI001111,2023-03-21,PAGAMENTO,680.84,01,SP-CORE-01,BR,BR-7887950851
TXN00000023,CLI000323,2023-06-10,FATURA,218.94,10,BA-CORE-01,BR,BR-4466589567
TXN00000024,CLI000140,2023-09-18,FATURA,298.79,01,SP-CORE-01,BR,BR-8429141456
TXN00000025,CLI000082,2023-07-26,AJUSTE,437.21,01,BA-CORE-01,BR,BR-3303082117
TXN00000026,CLI000644,2023-08-03,FATURA,2307.66,02,RJ-CORE-01,BR,BR-2625792787
TXN00000027,CLI000149,2023-05-16,AJUSTE,1397.33,02,MG-CORE-01,BR,BR-7665963761
TXN00000028,CLI000437,2023-08-23,FATURA,2181.63,00,SP-CORE-01,BR,BR-8995970241
TXN00000029,CLI000898,2023-03-09,ESTORNO,-3267.74,00,SP-CORE-02,BR,BR-3479708607
TXN00000030,CLI000213,2023-11-10,ESTORNO,3443.81,00,BA-CORE-01,BR,BR-4026113008
TXN00000031,CLI000558,2023-05-16,AJUSTE,421.69,00,BA-CORE-01,BR,BR-9786748825
TXN00000032,CLI000515,2023-11-06,ESTORNO,752.99,02,SP-CORE-02,BR,BR-5728765136
TXN00000033,CLI000684,2023-02-17,FATURA,2227.31,02,SP-CORE-01,BR,BR-6488854841
TXN00000034,CLI000876,2023-11-23,AJUSTE,3429.7,01,MG-CORE-01,BR,BR-2566942273
TXN00000035,CLI000757,2023-02-27,FATURA,281.85,01,BA-CORE-01,BR,BR-6884882440
TXN00000036,CLI000733,2023-08-09,AJUSTE,463.51,02,RJ-CORE-01,BR,BR-3783290795
TXN00000037,CLI000833,2023-12-16,AJUSTE,888.36,00,RJ-CORE-01,BR,BR-4131575764
TXN00000038,CLI000368,2023-05-02,AJUSTE,3028.83,01,MG-CORE-01,BR,BR-5996775663
TXN00000039,CLI000222,2023-07-30,ESTORNO,2811.78,01,RJ-CORE-01,BR,BR-6924716023
TXN00000040,CLI000717,2023-01-20,PAGAMENTO,3007.9,01,SP-CORE-02,BR,BR-3392080953
TXN00000041,CLI000143,2023-04-27,ESTORNO,-795.77,01,MG-CORE-01,BR,BR-8235363119
TXN00000042,CLI000237,2023-06-29,ESTORNO,2252.36,10,BA-CORE-01,BR,BR-4332894265
TXN00000043,CLI000708,2023-04-02,ESTORNO,2040.45,02,SP-CORE-01,BR,BR-6649827836
TXN00000044,CLI000091,2023-08-12,ESTORNO,-2129.61,00,MG-CORE-01,BR,BR-2149938334
TXN00000045,CLI000144,2023-01-01,PAGAMENTO,1829.32,01,RJ-CORE-01,BR,BR-2351531223
TXN00000046,CLI000837,2023-11-16,ESTORNO,-1112.43,00,RJ-CORE-01,BR,BR-8110054933
TXN00000047,CLI000777,2023-07-26,ESTORNO,2446.29,01,SP-CORE-02,BR,BR-2970753705
TXN00000048,CLI000623,2023-11-12,AJUSTE,2000.49,10,BA-CORE-01,BR,BR-2137651678
TXN00000049,CLI000438,2023-04-18,ESTORNO,-1516.01,02,MG-CORE-01,BR,BR-7805745017
TXN00000050,CLI000687,2023-03-28,PAGAMENTO,2312.8,02,BA-CORE-01,BR,BR-7010379415
TXN00000051,CLI000051,2023-05-01,FATURA,2361.33,01,SP-CORE-02,BR,BR-5284391408
TXN00000052,CLI001179,2023-05-06,FATURA,3444.1,00,MG-CORE-01,BR,BR-7483366056
TXN00000053,CLI000012,2023-12-23,AJUSTE,1356.25,10,SP-CORE-02,BR,BR-1470939445
TXN00000054,CLI000249,2023-08-06,FATURA,160971.22,4F,SANTOS-PORT-07,KY,OFFSHORE-627048UF
TXN00000055,CLI001034,2023-03-10,PAGAMENTO,2808.93,02,MG-CORE-01,BR,BR-4272602734
TXN00000056,CLI000531,2023-10-08,PAGAMENTO,1571.78,01,MG-CORE-01,BR,BR-7980611182
TXN00000057,CLI000901,2023-11-23,AJUSTE,985.04,10,SP-CORE-02,BR,BR-1854316681
TXN00000058,CLI000166,2023-05-27,FATURA,836.04,02,RJ-CORE-01,BR,BR-4944899549
TXN00000059,CLI000850,2023-03-19,AJUSTE,824.79,01,SP-CORE-02,BR,BR-7867414708
TXN00000060,CLI000861,2023-06-19,PAGAMENTO,1908.29,10,SP-CORE-01,BR,BR-3098545541
TXN00000061,CLI000977,2023-10-27,PAGAMENTO,3312.3,00,BA-CORE-01,BR,BR-8760038701
TXN00000062,CLI001119,2023-06-30,FATURA,1059.17,10,MG-CORE-01,BR,BR-2028439863
TXN00000063,CLI000797,2023-09-07,AJUSTE,783.59,10,MG-CORE-01,BR,BR-1338258951
TXN00000064,CLI001094,2023-12-09,ESTORNO,2383.41,10,SP-CORE-02,BR,BR-8438486479
TXN00000065,CLI000278,2023-07-21,FATURA,2079.79,00,SP-CORE-01,BR,BR-4504793184
TXN00000066,CLI000932,2023-04-04,PAGAMENTO,194.99,10,RJ-CORE-01,BR,BR-1540137296
TXN00000067,CLI000168,2023-06-22,ESTORNO,-2669.08,10,RJ-CORE-01,BR,BR-8128575500
TXN00000068,CLI000141,2023-01-10,PAGAMENTO,2626.6,00,RJ-CORE-01,BR,BR-6004182187
TXN00000069,CLI000313,2023-01-16,FATURA,3324.65,01,SP-CORE-01,BR,BR-7900268326
TXN00000070,CLI000953,2023-03-06,AJUSTE,1667.99,00,BA-CORE-01,BR,BR-5141907136
TXN00000071,CLI000053,2023-07-08,ESTORNO,-603.91,00,SP-CORE-02,BR,BR-3962958940
TXN00000072,CLI000498,2023-10-22,ESTORNO,-2377.17,10,MG-CORE-01,BR,BR-8357059814
TXN00000073,CLI000712,2023-12-23,FATURA,2708.23,00,BA-CORE-01,BR,BR-6898796145
TXN00000074,CLI001004,2023-12-05,PAGAMENTO,1309.59,02,SP-CORE-01,BR,BR-2939118223
TXN00000075,CLI000361,2023-08-10,FATURA,3363.54,10,SP-CORE-02,BR,BR-2064746525
TXN00000076,CLI000550,2023-11-12,ESTORNO,2832.53,10,MG-CORE-01,BR,BR-5569956444
TXN00000077,CLI000952,2023-05-06,ESTORNO,-2910.94,00,RJ-CORE-01,BR,BR-9680276057
TXN00000078,CLI000435,2023-06-22,PAGAMENTO,119.88,02,SP-CORE-02,BR,BR-3379074819
TXN00000079,CLI000392,2023-05-13,ESTORNO,1204.38,02,BA-CORE-01,BR,BR-3527331058
TXN00000080,CLI000976,2023-05-04,FATURA,2525.86,10,BA-CORE-01,BR,BR-1030884438
TXN00000081,CLI000829,2023-08-18,PAGAMENTO,2779.41,00,RJ-CORE-01,BR,BR-1252860896
TXN00000082,CLI001088,2023-06-06,AJUSTE,2330.58,02,MG-CORE-01,BR,BR-2419179580
TXN00000083,CLI000515,2023-08-06,ESTORNO,-3488.28,02,RJ-CORE-01,BR,BR-3208283728
TXN00000084,CLI000380,2023-03-03,AJUSTE,2530.07,02,SP-CORE-01,BR,BR-3084839399
TXN00000085,CLI000580,2023-04-21,AJUSTE,2590.34,02,BA-CORE-01,BR,BR-3315992115
TXN00000086,CLI000029,2023-04-10,FATURA,1050.94,02,SP-CORE-02,BR,BR-7769777475
TXN00000087,CLI000259,2023-05-21,AJUSTE,178.39,00,BA-CORE-01,BR,BR-2748309234
TXN00000088,CLI000903,2023-02-22,PAGAMENTO,3057.06,02,MG-CORE-01,BR,BR-1405126228
TXN00000089,CLI000821,2023-04-05,ESTORNO,3379.93,02,MG-CORE-01,BR,BR-8125276666
TXN00000090,CLI001153,2023-02-07,PAGAMENTO,2028.03,00,SP-CORE-02,BR,BR-6816663775
TXN00000091,CLI000463,2023-02-13,ESTORNO,3478.84,00,BA-CORE-01,BR,BR-7060638140
TXN00000092,CLI000626,2023-08-19,PAGAMENTO,3181.6,02,BA-CORE-01,BR,BR-9822598054
TXN00000093,CLI000542,2023-11-09,FATURA,3361.18,00,SP-CORE-02,BR,BR-3775320897
TXN00000094,CLI000837,2023-03-22,FATURA,854.73,00,SP-CORE-02,BR,BR-5555296751
TXN00000095,CLI000591,2023-12-19,PAGAMENTO,2086.46,02,SP-CORE-01,BR,BR-8422620843
TXN00000096,CLI000406,2023-12-26,ESTORNO,3011.43,00,SP-CORE-02,BR,BR-1469306919
TXN00000097,CLI000147,2023-02-28,PAGAMENTO,1915.08,01,RJ-CORE-01,BR,BR-1822873088
TXN00000098,CLI000960,2023-03-26,FATURA,2778.35,02,MG-CORE-01,BR,BR-7598297060
TXN00000099,CLI000165,2023-12-25,ESTORNO,-1420.73,02,BA-CORE-01,BR,BR-5897045684
TXN00000100,CLI000469,2023-08-10,FATURA,2576.18,02,SP-CORE-01,BR,BR-6083042422
TXN00000101,CLI001063,2023-12-11,FATURA,2878.55,00,SP-CORE-02,BR,BR-2986972437
TXN00000102,CLI000963,2023-05-23,PAGAMENTO,651.58,10,MG-CORE-01,BR,BR-5618742930
TXN00000103,CLI001015,2023-07-29,ESTORNO,-1179.91,00,SP-CORE-02,BR,BR-1420514789
TXN00000104,CLI000663,2023-12-06,ESTORNO,-3309.27,00,MG-CORE-01,BR,BR-2015242176
TXN00000105,CLI000847,2023-07-26,FATURA,3029.89,00,BA-CORE-01,BR,BR-7040502394
TXN00000106,CLI000417,2023-04-07,FATURA,1824.17,10,MG-CORE-01,BR,BR-3067418686
